Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2012-09-05, Cowboys, 143, 26, 290, 29, 22, 13, 86, 0, 1, 18, 10, 4, 1, 0, 2047, 24, Giants, 82, 19, 187, 32, 21, 4, 33, 1, 0, 15, 12, 4, 2, 2, 1553, 17
2012-09-09, Jaguars, 113, 34, 242, 39, 23, 4, 25, 1, 0, 22, 18, 9, 2, 1, 2269, 23, Vikings, 123, 29, 266, 27, 20, 5, 47, 1, 0, 20, 10, 2, 0, 0, 1625, 26
2012-09-09, 49ers, 186, 32, 191, 26, 20, 8, 66, 0, 0, 22, 9, 2, 0, 0, 1980, 30, Packers, 45, 14, 279, 44, 30, 10, 77, 0, 1, 21, 13, 6, 1, 0, 1620, 22
2012-09-09, Panthers, 10, 13, 291, 33, 23, 6, 65, 0, 2, 16, 10, 2, 0, 0, 1353, 10, Buccaneers, 130, 36, 128, 24, 16, 4, 35, 0, 0, 18, 14, 5, 0, 0, 2247, 16
2012-09-09, Colts, 63, 15, 293, 45, 23, 3, 19, 2, 3, 22, 10, 2, 2, 2, 1472, 21, Bears, 114, 33, 314, 35, 21, 7, 48, 0, 1, 26, 12, 4, 0, 0, 2128, 41
2012-09-09, Steelers, 75, 26, 209, 40, 22, 8, 52, 0, 1, 19, 19, 11, 2, 1, 2105, 19, Broncos, 94, 27, 240, 26, 19, 6, 49, 1, 0, 20, 9, 5, 0, 0, 1495, 31
2012-09-09, Dolphins, 76, 20, 199, 36, 20, 7, 78, 1, 3, 15, 10, 2, 3, 0, 1516, 10, Texans, 83, 35, 254, 31, 20, 4, 35, 0, 0, 19, 17, 7, 0, 0, 2084, 30
2012-09-09, Rams, 77, 26, 173, 25, 17, 7, 65, 0, 0, 14, 12, 4, 0, 0, 1806, 23, Lions, 83, 18, 346, 48, 32, 3, 27, 0, 3, 28, 9, 4, 0, 0, 1794, 27
2012-09-09, Patriots, 162, 35, 228, 31, 23, 3, 20, 0, 0, 25, 12, 6, 0, 0, 1861, 34, Titans, 20, 16, 264, 43, 29, 3, 30, 1, 1, 16, 14, 5, 2, 1, 1739, 13
2012-09-09, Bills, 195, 26, 195, 32, 18, 6, 34, 1, 3, 20, 9, 6, 1, 1, 1722, 28, Jets, 118, 36, 266, 27, 19, 5, 34, 0, 1, 21, 14, 10, 0, 0, 1878, 48
2012-09-09, Eagles, 150, 30, 306, 56, 29, 12, 110, 1, 4, 25, 19, 8, 1, 1, 2158, 17, Browns, 99, 22, 111, 35, 12, 3, 35, 0, 4, 12, 13, 2, 0, 0, 1442, 16
2012-09-09, Falcons, 84, 23, 292, 31, 23, 2, 12, 0, 0, 21, 10, 5, 0, 0, 1685, 40, Chiefs, 152, 33, 241, 33, 21, 2, 25, 1, 2, 22, 16, 11, 0, 0, 1915, 24
2012-09-09, Redskins, 153, 43, 306, 26, 19, 12, 127, 0, 0, 22, 15, 4, 1, 1, 2350, 40, Saints, 32, 10, 326, 52, 24, 12, 107, 1, 2, 24, 11, 2, 2, 2, 1250, 32
2012-09-09, Seahawks, 115, 33, 139, 34, 18, 13, 90, 1, 1, 18, 16, 5, 1, 0, 2014, 16, Cardinals, 43, 20, 210, 36, 20, 10, 102, 1, 1, 18, 10, 3, 0, 0, 1586, 20
2012-09-10, Chargers, 32, 20, 226, 33, 24, 9, 78, 0, 0, 15, 13, 5, 0, 0, 1834, 22, Raiders, 45, 20, 276, 46, 32, 6, 35, 1, 0, 21, 15, 5, 2, 0, 1766, 14
2012-09-10, Bengals, 129, 28, 193, 37, 22, 3, 41, 1, 1, 20, 15, 4, 3, 2, 1946, 13, Ravens, 122, 23, 308, 32, 23, 6, 50, 0, 0, 26, 9, 3, 1, 1, 1654, 44
2012-09-13, Bears, 94, 23, 74, 27, 11, 8, 65, 0, 4, 11, 15, 5, 2, 1, 1669, 10, Packers, 106, 28, 215, 33, 23, 4, 54, 1, 1, 19, 14, 4, 1, 1, 1931, 23
2012-09-16, Cowboys, 49, 16, 247, 40, 23, 5, 47, 1, 1, 17, 13, 7, 0, 0, 1521, 7, Seahawks, 182, 41, 133, 20, 15, 5, 35, 0, 0, 20, 14, 5, 2, 1, 2079, 27
2012-09-16, Texans, 216, 48, 195, 35, 26, 10, 64, 0, 0, 28, 17, 8, 1, 1, 2597, 27, Jaguars, 65, 14, 52, 21, 9, 8, 71, 1, 0, 9, 9, 0, 0, 0, 1003, 7
2012-09-16, Buccaneers, 79, 22, 228, 28, 15, 5, 33, 0, 2, 14, 10, 2, 0, 0, 1591, 34, Giants, 94, 25, 510, 51, 31, 7, 53, 0, 3, 31, 13, 5, 0, 0, 2009, 41
2012-09-16, Jets, 90, 22, 129, 27, 10, 7, 63, 1, 0, 16, 12, 4, 0, 0, 1404, 10, Steelers, 66, 28, 265, 31, 24, 10, 107, 0, 0, 21, 15, 8, 0, 0, 2196, 27
2012-09-16, Cardinals, 102, 32, 140, 27, 15, 5, 39, 2, 0, 16, 14, 4, 0, 0, 1699, 20, Patriots, 90, 28, 297, 46, 28, 8, 60, 0, 1, 25, 15, 5, 0, 0, 1901, 18
2012-09-16, Browns, 130, 23, 309, 37, 26, 10, 103, 1, 0, 21, 15, 7, 0, 0, 1627, 27, Bengals, 80, 25, 295, 31, 24, 6, 54, 0, 1, 21, 12, 4, 1, 1, 1973, 34
2012-09-16, Lions, 82, 26, 214, 32, 19, 8, 67, 0, 1, 15, 15, 6, 1, 1, 1826, 19, 49ers, 148, 27, 201, 31, 20, 5, 62, 1, 0, 24, 11, 4, 0, 0, 1774, 27
2012-09-16, Saints, 163, 27, 323, 49, 31, 2, 23, 0, 2, 27, 13, 7, 1, 0, 1824, 27, Panthers, 219, 41, 244, 20, 14, 4, 34, 1, 0, 23, 12, 6, 1, 0, 1776, 35
2012-09-16, Chiefs, 150, 24, 272, 42, 23, 4, 33, 2, 1, 25, 14, 5, 0, 0, 1839, 17, Bills, 201, 36, 178, 19, 10, 5, 50, 0, 0, 15, 12, 5, 0, 0, 1761, 35
2012-09-16, Redskins, 176, 29, 197, 29, 20, 11, 96, 0, 1, 18, 13, 4, 0, 0, 1716, 28, Rams, 151, 27, 301, 35, 26, 7, 60, 2, 1, 23, 12, 7, 0, 0, 1884, 31
2012-09-16, Titans, 38, 10, 174, 30, 15, 8, 59, 0, 1, 9, 9, 1, 0, 0, 981, 10, Chargers, 148, 39, 268, 32, 24, 4, 41, 0, 1, 27, 17, 10, 1, 1, 2619, 38
2012-09-16, Ravens, 111, 21, 214, 42, 22, 6, 45, 1, 1, 17, 14, 4, 2, 0, 1539, 23, Eagles, 129, 41, 357, 32, 23, 7, 58, 2, 2, 26, 15, 7, 1, 1, 2061, 24
2012-09-16, Raiders, 23, 14, 373, 48, 24, 5, 42, 0, 1, 18, 12, 1, 0, 0, 1519, 13, Dolphins, 263, 43, 189, 30, 18, 3, 21, 0, 0, 24, 17, 9, 1, 1, 2081, 35
2012-09-16, Vikings, 95, 26, 232, 35, 27, 11, 105, 1, 0, 19, 15, 7, 1, 1, 1822, 20, Colts, 84, 30, 194, 31, 20, 7, 51, 0, 0, 17, 16, 7, 0, 0, 1778, 23
2012-09-17, Broncos, 118, 27, 218, 37, 24, 10, 96, 1, 3, 24, 12, 4, 1, 1, 1640, 21, Falcons, 67, 28, 208, 36, 24, 8, 72, 0, 0, 22, 13, 5, 0, 0, 1960, 27
2012-09-20, Giants, 125, 29, 280, 37, 28, 5, 38, 0, 0, 24, 14, 7, 0, 0, 2170, 36, Panthers, 60, 20, 267, 33, 19, 3, 22, 2, 3, 22, 9, 4, 1, 0, 1430, 7
2012-09-23, Patriots, 77, 34, 319, 41, 28, 10, 83, 0, 0, 33, 15, 7, 0, 0, 1863, 30, Ravens, 121, 26, 382, 39, 28, 14, 135, 0, 1, 28, 8, 4, 1, 0, 1737, 31
2012-09-23, Falcons, 119, 26, 265, 40, 30, 2, 15, 0, 1, 25, 13, 8, 0, 0, 2174, 27, Chargers, 116, 17, 164, 38, 21, 4, 17, 2, 2, 15, 11, 5, 0, 0, 1426, 3
2012-09-23, 49ers, 89, 20, 191, 35, 24, 6, 60, 2, 1, 19, 10, 4, 0, 0, 1592, 13, Vikings, 146, 41, 198, 35, 21, 1, 10, 2, 0, 25, 14, 7, 1, 1, 2008, 24
2012-09-23, Lions, 141, 36, 442, 55, 43, 10, 91, 1, 0, 36, 12, 3, 1, 0, 2436, 41, Titans, 59, 19, 378, 42, 29, 6, 32, 2, 0, 21, 12, 5, 0, 0, 1669, 44
2012-09-23, Eagles, 113, 21, 194, 37, 17, 5, 65, 3, 0, 16, 14, 5, 1, 0, 1527, 6, Cardinals, 99, 34, 193, 24, 17, 6, 60, 0, 0, 16, 15, 6, 1, 0, 2073, 27
2012-09-23, Jaguars, 185, 32, 148, 21, 10, 6, 67, 0, 0, 15, 13, 4, 0, 0, 1656, 22, Colts, 124, 29, 313, 46, 22, 11, 106, 0, 1, 23, 19, 10, 0, 0, 1944, 17
2012-09-23, Buccaneers, 75, 25, 91, 28, 10, 10, 69, 1, 1, 12, 15, 3, 2, 2, 1616, 10, Cowboys, 38, 23, 259, 39, 25, 13, 105, 2, 1, 14, 16, 5, 1, 0, 1984, 16
