Tm,Att,Yds,TD,Y/A
Tampa Bay Buccaneers,377,1320,13,3.5
Pittsburgh Steelers,391,1450,9,3.7
Denver Broncos,404,1458,5,3.6
San Francisco 49ers,407,1507,7,3.7
Washington Redskins,363,1532,11,4.2
San Diego Chargers,406,1542,10,3.8
Houston Texans,390,1560,5,4.0
Chicago Bears,388,1627,6,4.2
New England Patriots,415,1630,10,3.9
Seattle Seahawks,368,1649,8,4.5
Minnesota Vikings,427,1692,10,4.0
Cincinnati Bengals,423,1715,13,4.1
Miami Dolphins,431,1734,10,4.0
Carolina Panthers,416,1761,11,4.2
St. Louis Rams,442,1880,18,4.3
Detroit Lions,420,1889,13,4.5
Green Bay Packers,418,1896,12,4.5
Oakland Raiders,444,1897,18,4.3
Cleveland Browns,457,1898,14,4.2
Baltimore Ravens,492,1965,15,4.0
Atlanta Falcons,411,1971,16,4.8
Dallas Cowboys,441,2003,17,4.5
Philadelphia Eagles,479,2021,11,4.2
Tennessee Titans,483,2035,16,4.2
New York Giants,449,2066,9,4.6
New York Jets,495,2138,17,4.3
Kansas City Chiefs,482,2171,11,4.5
Arizona Cardinals,506,2192,12,4.3
Indianapolis Colts,428,2200,14,5.1
Jacksonville Jaguars,545,2256,19,4.1
Buffalo Bills,470,2333,23,5.0
New Orleans Saints,457,2361,18,5.2
