"Team","Total DVOA","Rank","Prv Yr Rank","Non-Adj Tot VOA","W-L","Offense DVOA","Rank","Defense DVOA","Rank","ST DVOA","Rank","Est. Wins","Rank","WtdDVOA","Rank","Sched","Rank","Pyth Wins","Rank","Var","Rank"
"NE","44.6%","1","4","40.0%","14-2","42.2%","1","2.3%","21","4.7%","8","14.6","1","54.3%","1","4.7%","7","12.6","1","18.5%","17"
"PIT","35.4%","2","10","32.2%","12-4","14.3%","5","-20.7%","1","0.4%","16","12.1","2","38.4%","2","4.2%","9","12.1","3","14.4%","12"
"PHI","23.2%","3","3","24.3%","10-6","17.3%","3","-3.6%","11","2.3%","12","11.9","4","23.4%","5","-1.1%","20","9.5","9","8.8%","4"
"GB","23.0%","4","2","22.5%","10-6","11.5%","7","-13.9%","2","-2.4%","26","10.9","6","25.1%","4","1.9%","15","12.1","2","14.8%","15"
"BAL","21.7%","5","1","14.9%","12-4","5.4%","12","-10.3%","6","6.0%","4","12.1","3","26.1%","3","4.9%","6","10.6","6","5.2%","2"
"NYJ","18.7%","6","9","18.9%","11-5","2.1%","16","-10.9%","5","5.8%","5","10.1","8","14.8%","7","6.0%","5","9.8","8","23.6%","28"
"ATL","16.3%","7","18","18.4%","13-3","8.0%","9","-2.1%","14","6.3%","3","11.3","5","14.7%","8","-2.6%","22","11.4","4","5.2%","1"
"SD","15.4%","8","11","21.1%","9-7","15.5%","4","-10.0%","7","-10.2%","32","9.4","9","20.7%","6","-5.6%","26","11.0","5","23.6%","27"
"NYG","13.0%","9","17","15.2%","10-6","7.5%","10","-11.2%","3","-5.8%","30","10.4","7","10.4%","11","-3.8%","24","10.1","7","23.1%","26"
"NO","9.2%","10","6","13.5%","11-5","6.4%","11","-4.3%","10","-1.5%","21","9.2","10","11.5%","9","-6.1%","27","9.3","11","11.0%","8"
"TEN","6.6%","11","21","4.0%","6-10","-4.5%","20","-5.8%","8","5.3%","6","8.6","11","-0.1%","17","1.7%","16","8.5","16","20.2%","21"
"TB","3.7%","12","27","8.0%","10-6","8.0%","8","3.7%","23","-0.5%","18","8.4","13","8.6%","13","-5.2%","25","8.7","15","13.8%","11"
"HOU","2.5%","13","14","2.2%","6-10","21.7%","2","17.5%","31","-1.7%","23","7.9","17","7.3%","14","2.4%","13","7.1","18","17.9%","16"
"CHI","2.4%","14","25","0.0%","11-5","-15.8%","28","-10.9%","4","7.4%","1","8.3","14","11.0%","10","0.4%","18","9.5","10","25.6%","30"
"MIA","1.8%","15","16","-2.5%","7-9","0.7%","18","-4.8%","9","-3.7%","29","8.5","12","1.2%","16","9.2%","3","6.2","23","14.5%","14"
"IND","1.3%","16","8","1.8%","10-6","13.1%","6","5.5%","24","-6.3%","31","8.2","16","-2.7%","18","2.6%","12","9.2","12","7.5%","3"
"KC","0.3%","17","28","7.5%","10-6","4.4%","13","2.1%","20","-2.1%","24","8.3","15","-10.7%","24","-7.9%","29","9.1","13","21.9%","24"
"DET","-1.1%","18","32","-2.4%","6-10","-0.8%","19","2.9%","22","2.6%","11","7.5","18","1.3%","15","3.6%","10","7.8","17","9.0%","6"
"CIN","-3.4%","19","19","-12.7%","4-12","1.7%","17","1.5%","17","-3.5%","28","6.6","24","-6.6%","22","10.0%","2","6.0","25","12.2%","10"
"CLE","-4.0%","20","26","-7.0%","5-11","-5.0%","22","1.7%","18","2.7%","10","6.7","23","-6.3%","21","8.5%","4","6.1","24","19.1%","18"
"OAK","-4.1%","21","30","1.7%","8-8","-8.3%","23","-2.3%","13","1.8%","13","7.1","19","10.2%","12","-3.4%","23","9.0","14","33.3%","32"
"JAC","-9.0%","22","23","-7.6%","8-8","3.9%","14","17.7%","32","4.8%","7","6.5","25","-5.6%","19","-0.2%","19","6.3","22","19.8%","20"
"DAL","-10.5%","23","5","-9.6%","6-10","-4.7%","21","6.3%","27","0.6%","15","6.8","22","-10.3%","23","1.1%","17","7.0","19","22.0%","25"
"SF","-11.2%","24","20","-5.8%","6-10","-11.1%","24","-1.4%","15","-1.5%","20","6.9","21","-5.9%","20","-7.8%","28","6.8","21","23.8%","29"
"MIN","-13.9%","25","7","-17.4%","6-10","-15.1%","27","-2.5%","12","-1.4%","19","6.5","26","-17.0%","27","4.4%","8","6.0","26","14.4%","13"
"DEN","-17.1%","26","13","-15.7%","4-12","2.1%","15","16.6%","30","-2.6%","27","5.3","29","-13.4%","25","-1.6%","21","4.9","29","19.5%","19"
"STL","-19.4%","27","31","-10.9%","7-9","-18.1%","30","2.1%","19","0.8%","14","5.4","28","-14.3%","26","-11.0%","32","6.8","20","12.2%","9"
"WAS","-19.4%","28","22","-20.2%","6-10","-11.3%","25","5.8%","26","-2.3%","25","4.7","30","-24.3%","29","3.0%","11","5.9","27","8.9%","5"
"BUF","-21.3%","29","24","-29.7%","4-12","-14.5%","26","6.8%","28","-0.1%","17","5.5","27","-18.7%","28","11.4%","1","4.3","30","20.2%","22"
"SEA","-22.9%","30","29","-22.7%","7-9","-17.3%","29","12.0%","29","6.4%","2","6.9","20","-31.0%","30","-8.3%","30","5.4","28","29.0%","31"
"CAR","-36.2%","31","15","-39.8%","2-14","-35.8%","32","-1.1%","16","-1.5%","22","2.2","32","-33.5%","31","2.1%","14","2.4","32","9.4%","7"
"ARI","-37.1%","32","12","-28.6%","5-11","-35.6%","31","5.6%","25","4.2%","9","3.1","31","-36.1%","32","-9.0%","31","4.3","31","21.7%","23"
